Epoch:15/80: step:2400, lr:0.00041989537, loss:0.010238826, pPAN_max:0.8506503, pPAN_min:0.02530992, elapsed_time:0:09:02.741515

Epoch:16/80: step:2500, lr:0.00039345556, loss:0.01025094, pPAN_max:0.85060465, pPAN_min:0.025940806, elapsed_time:0:09:25.728025

Epoch:17/80: step:2600, lr:0.00036868063, loss:0.010155174, pPAN_max:0.85520583, pPAN_min:0.02619642, elapsed_time:0:09:48.631400

Epoch:17/80: step:2700, lr:0.00034546576, loss:0.0101807155, pPAN_max:0.8531177, pPAN_min:0.025845766, elapsed_time:0:10:10.911671

Epoch:18/80: step:2800, lr:0.00032371256, loss:0.010109086, pPAN_max:0.85352206, pPAN_min:0.02548948, elapsed_time:0:10:33.855725

Epoch:18/80: step:2900, lr:0.0003033292, loss:0.010086201, pPAN_max:0.8547894, pPAN_min:0.025943756, elapsed_time:0:10:56.260992

Epoch:19/80: step:3000, lr:0.00028422935, loss:0.009981303, pPAN_max:0.85213494, pPAN_min:0.025818646, elapsed_time:0:11:19.211260

Epoch:20/80: step:3100, lr:0.00026633203, loss:0.009920414, pPAN_max:0.8515359, pPAN_min:0.025745451, elapsed_time:0:11:42.164348

Epoch:20/80: step:3200, lr:0.0002495618, loss:0.009917476, pPAN_max:0.8528954, pPAN_min:0.02586162, elapsed_time:0:12:04.598548

Epoch:21/80: step:3300, lr:0.00023384747, loss:0.009875164, pPAN_max:0.85166246, pPAN_min:0.02573052, elapsed_time:0:12:27.588365

Epoch:21/80: step:3400, lr:0.00021912271, loss:0.009797748, pPAN_max:0.8528676, pPAN_min:0.025741726, elapsed_time:0:12:50.023974

Epoch:22/80: step:3500, lr:0.00020532508, loss:0.009768748, pPAN_max:0.8532672, pPAN_min:0.025731713, elapsed_time:0:13:13.213958

Epoch:23/80: step:3600, lr:0.00019239623, loss:0.009709366, pPAN_max:0.86144286, pPAN_min:0.025655478, elapsed_time:0:13:36.264765

Epoch:23/80: step:3700, lr:0.00018028154, loss:0.009633021, pPAN_max:0.8536873, pPAN_min:0.025773495, elapsed_time:0:13:58.842057

Epoch:24/80: step:3800, lr:0.00016892965, loss:0.009651559, pPAN_max:0.852881, pPAN_min:0.025748461, elapsed_time:0:14:21.630449

Epoch:25/80: step:3900, lr:0.00015829258, loss:0.009636105, pPAN_max:0.853781, pPAN_min:0.02579686, elapsed_time:0:14:44.774558

